True Cost 	Penalty 	Adjusted Cost
5.873161E-02	0.000000E+00	5.873161E-02
8.430706E-02	0.000000E+00	8.430706E-02
8.101270E-02	0.000000E+00	8.101270E-02
6.075159E-02	0.000000E+00	6.075159E-02
6.962246E-02	0.000000E+00	6.962246E-02
7.651503E-02	0.000000E+00	7.651503E-02
1.721972E-01	0.000000E+00	1.721972E-01
6.474474E-02	0.000000E+00	6.474474E-02
1.648497E-01	0.000000E+00	1.648497E-01
7.746662E-02	0.000000E+00	7.746662E-02
3.991895E-02	0.000000E+00	3.991895E-02
2.035548E-01	0.000000E+00	2.035548E-01
4.547239E-02	0.000000E+00	4.547239E-02
6.916766E-02	0.000000E+00	6.916766E-02
1.956114E-01	0.000000E+00	1.956114E-01
1.664899E-01	0.000000E+00	1.664899E-01
3.268098E-01	0.000000E+00	3.268098E-01
9.878589E-02	0.000000E+00	9.878589E-02
1.027292E-01	0.000000E+00	1.027292E-01
9.177364E-02	0.000000E+00	9.177364E-02
7.544760E-02	0.000000E+00	7.544760E-02
6.400400E-02	0.000000E+00	6.400400E-02
1.133408E-01	0.000000E+00	1.133408E-01
6.175647E-02	0.000000E+00	6.175647E-02
6.291413E-02	0.000000E+00	6.291413E-02
5.604663E-02	0.000000E+00	5.604663E-02
5.722315E-02	0.000000E+00	5.722315E-02
1.193538E-01	0.000000E+00	1.193538E-01
1.142441E-01	0.000000E+00	1.142441E-01
9.932122E-02	0.000000E+00	9.932122E-02
1.010752E-01	0.000000E+00	1.010752E-01
6.283211E-02	0.000000E+00	6.283211E-02
6.914964E-02	0.000000E+00	6.914964E-02
5.509381E-02	0.000000E+00	5.509381E-02
1.961994E-01	0.000000E+00	1.961994E-01
6.807923E-02	0.000000E+00	6.807923E-02
2.321578E-01	0.000000E+00	2.321578E-01
6.511364E-02	0.000000E+00	6.511364E-02
1.690106E-01	0.000000E+00	1.690106E-01
2.195027E-01	0.000000E+00	2.195027E-01
1.335594E-01	0.000000E+00	1.335594E-01
9.118171E-02	0.000000E+00	9.118171E-02
1.110966E-01	0.000000E+00	1.110966E-01
1.958312E-01	0.000000E+00	1.958312E-01
5.884563E-02	0.000000E+00	5.884563E-02
9.347811E-02	0.000000E+00	9.347811E-02
1.262863E-01	0.000000E+00	1.262863E-01
6.199851E-02	0.000000E+00	6.199851E-02
1.244217E-01	0.000000E+00	1.244217E-01
5.019521E-02	0.000000E+00	5.019521E-02
6.343984E-02	0.000000E+00	6.343984E-02
4.591247E-02	0.000000E+00	4.591247E-02
7.389984E-02	0.000000E+00	7.389984E-02
5.415115E-02	0.000000E+00	5.415115E-02
9.393483E-02	0.000000E+00	9.393483E-02
6.392101E-02	0.000000E+00	6.392101E-02
8.967048E-02	0.000000E+00	8.967048E-02
6.524592E-02	0.000000E+00	6.524592E-02
7.001557E-02	0.000000E+00	7.001557E-02
6.349968E-02	0.000000E+00	6.349968E-02
9.179261E-02	0.000000E+00	9.179261E-02
5.283884E-02	0.000000E+00	5.283884E-02
1.374570E-01	0.000000E+00	1.374570E-01
4.510997E-02	0.000000E+00	4.510997E-02
1.622200E-01	0.000000E+00	1.622200E-01
6.947266E-02	0.000000E+00	6.947266E-02
1.787883E-01	0.000000E+00	1.787883E-01
5.079444E-02	0.000000E+00	5.079444E-02
9.907715E-02	0.000000E+00	9.907715E-02
5.590214E-02	0.000000E+00	5.590214E-02
2.133303E-01	0.000000E+00	2.133303E-01
1.313327E-01	0.000000E+00	1.313327E-01
1.113025E-01	0.000000E+00	1.113025E-01
5.636574E-02	0.000000E+00	5.636574E-02
6.523043E-02	0.000000E+00	6.523043E-02
6.476015E-02	0.000000E+00	6.476015E-02
1.460247E-01	0.000000E+00	1.460247E-01
5.274939E-02	0.000000E+00	5.274939E-02
1.028097E-01	0.000000E+00	1.028097E-01
9.692630E-02	0.000000E+00	9.692630E-02
8.490451E-02	0.000000E+00	8.490451E-02
1.317551E-01	0.000000E+00	1.317551E-01
1.149169E-01	0.000000E+00	1.149169E-01
1.339669E-01	0.000000E+00	1.339669E-01
1.584121E-01	0.000000E+00	1.584121E-01
8.946996E-02	0.000000E+00	8.946996E-02
5.585996E-02	0.000000E+00	5.585996E-02
1.016081E-01	0.000000E+00	1.016081E-01
5.196094E-02	0.000000E+00	5.196094E-02
8.827893E-02	0.000000E+00	8.827893E-02
6.011426E-02	0.000000E+00	6.011426E-02
8.500186E-02	0.000000E+00	8.500186E-02
1.662973E-01	0.000000E+00	1.662973E-01
5.646866E-02	0.000000E+00	5.646866E-02
7.710057E-02	0.000000E+00	7.710057E-02
4.923667E-02	0.000000E+00	4.923667E-02
4.550223E-02	0.000000E+00	4.550223E-02
9.094700E-02	0.000000E+00	9.094700E-02
1.550841E-01	0.000000E+00	1.550841E-01
1.278019E-01	0.000000E+00	1.278019E-01
9.399424E-02	0.000000E+00	9.399424E-02
6.740913E-02	0.000000E+00	6.740913E-02
5.362908E-02	0.000000E+00	5.362908E-02
9.272142E-02	0.000000E+00	9.272142E-02
9.981639E-02	0.000000E+00	9.981639E-02
1.268159E-01	0.000000E+00	1.268159E-01
1.653282E-01	0.000000E+00	1.653282E-01
1.048303E-01	0.000000E+00	1.048303E-01
1.388337E-01	0.000000E+00	1.388337E-01
9.351333E-02	0.000000E+00	9.351333E-02
